방산분야,직무명,"요구역량 (하드스킬, 5~8개)",우대 군경력,관련 무기체계,무기체계 출처
항공유도,비행제어 SW 개발자,"C/C++, MATLAB·Simulink, 임베디드RTOS, 비행제어이론, DO-178C, 형상관리(Git)","항공통제·조종 경험, 무인기 운용","한국형기동헬기(수리온), 상륙기동헬기(마린온)",파일직접
항공유도,유도무기 체계 엔지니어,"유도제어이론, MATLAB, 6자유도 시뮬레이션, 탐색기·RF 이해, 체계공학, 신호처리","방공포병 운용, 유도탄 정비","천궁, 현궁",일반지식
항공유도,항공정비·MRO 엔지니어,"정비교범 해석, 기계공학, 비파괴검사(NDT), 신뢰성(RAM)분석, 형상정비, 진동해석","항공정비 경험, 항공통제","한국형기동헬기, 의무후송헬기, 해상초계기",파일직접
항공유도,UAV 시스템 엔지니어,"임베디드C, ROS, 데이터링크통신, 항공역학, MATLAB, 센서융합","무인기 운용, 항공정찰",해상초계기 성능개량(연계),파일직접
항공유도,항공 시험평가 엔지니어,"시험계측(DAQ), 신호처리, MATLAB, 통계분석, 체계공학, 비행시험절차",조종·항공정비 경험,"한국형기동헬기, 해상초계기",파일직접
통신전자,전자전(EW) 엔지니어,"RF설계, 안테나이론, 신호처리(DSP), MATLAB, FPGA(VHDL), 전자기해석","전자전 운용, 전탐 운용",대포병 탐지레이더,파일직접
통신전자,C4ISR SW 개발자,"C++, Java, Linux, 네트워크(TCP/IP), DB(SQL), 분산시스템, 암호모듈",정보통신·지휘통제 운용,사격지휘차량,파일직접
통신전자,레이더 체계 엔지니어,"마이크로파·RF, 안테나설계, 신호처리, MATLAB, 체계공학, 표적탐지알고리즘",방공레이더·전탐 운용,대포병 탐지레이더,파일직접
통신전자,국방SW 개발자(임베디드),"임베디드C, RTOS, ARM아키텍처, 통신프로토콜, 정적분석, 형상관리","통신운용, 정보통신",지휘통제 체계 공통,공통
통신전자,통신체계 엔지니어,"무선통신, 데이터링크(Link-16), 네트워크설계, 안테나, 암호모듈, 신호처리","통신운용, 정보통신",전술통신 체계 공통,공통
기동,기동장비 설계 엔지니어,"기계설계(CATIA·NX), 구조해석(FEA), 동역학, 파워트레인설계, GD&T(공차)",전차·장갑차 승무·정비,"K-2 전차, K21 보병전투차량, 차륜형 장갑차",파일직접
기동,차량 시험평가 엔지니어,"계측(DAQ), 진동·내구시험, MATLAB, 신호처리, 통계분석",기동장비 운용·정비,"K-2 전차, 소형전술차량",파일직접
기동,전투차량 정비 엔지니어,"정비교범, 유압·공압, 진단장비운용, 신뢰성(RAM), 형상정비",전차·장갑차 정비,"K1전차 성능개량, K1A1전차 성능개량, 경구난차량",파일직접
기동,구동·제어 엔지니어,"임베디드C, CAN통신, 모터제어, 제어이론, MATLAB·Simulink",기동장비 정비,"K21 보병전투차량, 장애물개척전차",파일직접
기동,차체·방호 설계 엔지니어,"구조해석(FEA), 용접공학, 소재공학, 방탄설계, CAD",전차 승무·정비,"K-2 전차, 보병탑승차량",파일직접
함정,함정 체계종합 엔지니어,"체계공학(SE), 함정설계, 신뢰성(RAM), 인터페이스관리, 형상관리","함정 운용, 기관 운용","정조대왕급 구축함, FFX 호위함",일반지식
함정,추진·기관 엔지니어,"기계공학, 열유체(CFD), 동력전달설계, 소음·진동제어, CAD",함정 기관 운용,KSS-III 잠수함,일반지식
함정,전투체계 SW 개발자,"C++, Linux·RTOS, 실시간시스템, 네트워크, DDS미들웨어, 멀티스레딩",전탐·전투체계 운용,함정 전투체계(CMS),일반지식
함정,조선 구조설계 엔지니어,"선체구조해석(FEA), 용접공학, CAD(AutoCAD), 유체역학, 소재공학",함정 갑판·항해,"FFX 호위함, KSS-III 잠수함",일반지식
함정,음향·소나 엔지니어,"수중음향, 신호처리(DSP), MATLAB, 트랜스듀서설계, 빔포밍","잠수함 음탐, 전탐",함정 소나체계,일반지식
탄약,탄약 설계 엔지니어,"폭발물(에너지물질)공학, 내탄도·외탄도, 구조해석, 화학공학, 수치해석","탄약운용, 포병","K9 자주포 탄약, K10·K56 탄약운반장갑차",파일직접
탄약,추진제·화약 공정 엔지니어,"화학공학, 추진제배합, 공정제어, 통계품질관리(SPC), 위험성평가","탄약관리, 병기",포탄·추진장약 공통,공통
탄약,탄약 품질보증 엔지니어,"신뢰성시험, 비파괴검사(NDT), 통계품질관리(SPC), 규격(MIL-STD)해석","탄약관리, 사격지휘","81mm 박격포, 120mm 자주박격포",파일직접
탄약,신관·안전장전 엔지니어,"기계·전자신관설계, 안전공학, 시험계측, 구조해석, 임베디드","포병 사격지휘, 병기",230mm급 다련장(천무),파일직접
화력,화포 체계 엔지니어,"기계설계(CATIA), 내·외탄도, 반동제어, 구조해석(FEA), 체계공학","포병 운용, 기갑 화기운용","K9 자주포, K55 자주포 성능개량, K105A1 자주포",파일직접
화력,사격통제(FCS) SW 개발자,"임베디드C, 제어이론, 센서융합, MATLAB, 통신프로토콜, 탄도계산","사격지휘, 전차포 운용","사격지휘차량, K9A1 자주포 성능개량",파일직접
화력,화력 시험평가 엔지니어,"탄도계측, 고속촬영·DAQ, 신호처리, 통계분석, MATLAB","포병 사격, 병기 정비","120mm 자주박격포, 230mm급 다련장",파일직접
화력,화기 정비·총포 엔지니어,"정밀기계공학, 정비교범, 측정(GD&T), 신뢰성(RAM), 표면처리","화기정비, 병기","경기관총, 81mm 박격포",파일직접
화생방,화생방 탐지체계 엔지니어,"분석화학, 센서(이온이동도·광학), 신호처리, 임베디드, 데이터처리",화생방 탐지·제독 운용,"화생방정찰차, 신형제독차",파일직접
화생방,제독·방호 설계 엔지니어,"화학공학, 유체역학, 여과·제독공정설계, 재료공학, 환경공학",화생방 제독 운용,신형제독차,파일직접
화생방,화생방 환경·시험 엔지니어,"환경모니터링, 가스크로마토그래피(GC-MS), 시험계측, 통계분석",화생방 탐지 운용,화생방정찰차,파일직접
기타,체계종합(SE) 엔지니어,"체계공학(SE), 요구사항관리(DOORS), 인터페이스관리, 형상관리, 신뢰성(RAM)",군 전반 운용·정비,전 무기체계 공통,공통
기타,품질보증(QA) 엔지니어,"규격(MIL-STD)해석, 통계품질관리(SPC), 신뢰성시험, 형상검사, 측정","군수, 병기 정비",전 품목 공통,공통
기타,군수·정비공학(ILS) 엔지니어,"ILS(종합군수지원), RAM분석, LSA, 정비교범작성, 신뢰성공학","군수, 보급, 정비","경구난차량, 전술모의훈련장비",파일직접
기타,모의훈련(M&S) SW 개발자,"C++·C#, Unity·Unreal, HLA·DIS연동, 3D그래픽스, 네트워크동기화","교육훈련, 전술통제",K계열전차 소부대 전술모의훈련장비,파일직접
