방산분야,관련직무,난이도,교육명,교육기관,교육링크(URL),추천자격증,검증상태
항공유도,비행제어 SW 개발자,입문,"C/C++ 프로그래밍, 신호와 시스템 (키워드 검색)",K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,정보처리기사,검색페이지확인·강좌회전
항공유도,비행제어 SW 개발자,중급,MATLAB·Simulink 제어 시뮬레이션 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,전자기사,포털·과정검색필요
항공유도,비행제어 SW 개발자,심화,항공기 감항인증·비행제어 실무 (방산 전문교육),한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,항공기사,기관확인·주로재직자대상
항공유도,유도무기 체계 엔지니어,입문,제어공학·자동제어 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,전자기사,검색페이지확인·강좌회전
항공유도,유도무기 체계 엔지니어,중급,신호처리·RF·레이더 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,전파전자통신기사,검색페이지확인·강좌회전
항공유도,유도무기 체계 엔지니어,심화,무기체계 획득·체계공학 실무 (방산 전문교육),방위사업교육원,https://edu.dapa.go.kr,품질경영기사,기관확인·대상제한
항공유도,항공정비·MRO 엔지니어,입문,기계공학·재료역학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,항공산업기사,검색페이지확인·강좌회전
항공유도,항공정비·MRO 엔지니어,중급,비파괴검사(NDT)·정비실무 과정 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,항공기사,포털·과정검색필요
항공유도,항공정비·MRO 엔지니어,심화,항공 MRO·감항인증 품질보증 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
항공유도,UAV 시스템 엔지니어,입문,드론·무인이동체 개론 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,무선설비기사,검색페이지확인·강좌회전
항공유도,UAV 시스템 엔지니어,중급,임베디드시스템·ROS 실습 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,정보처리기사,포털·과정검색필요
항공유도,UAV 시스템 엔지니어,심화,무인기 체계통합 방산 전문교육,한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,전자기사,기관확인·주로재직자대상
항공유도,항공 시험평가 엔지니어,입문,확률과 통계·계측공학 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,품질경영기사,검색페이지확인·강좌회전
항공유도,항공 시험평가 엔지니어,심화,무기체계 시험평가 제도·실무 (방산 전문교육),방위사업교육원,https://edu.dapa.go.kr,품질경영기사,기관확인·대상제한
통신전자,전자전(EW) 엔지니어,입문,전자기학·회로이론 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,전자기사,검색페이지확인·강좌회전
통신전자,전자전(EW) 엔지니어,중급,디지털신호처리(DSP)·안테나 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,전파전자통신기사,검색페이지확인·강좌회전
통신전자,전자전(EW) 엔지니어,심화,FPGA·RF설계 실습 과정 (과정검색),HRD-Net (고용노동부 직업훈련포털),https://www.hrd.go.kr,무선설비기사,포털·과정검색필요
통신전자,C4ISR SW 개발자,입문,자료구조·운영체제 기초 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,정보처리기사,검색페이지확인·강좌회전
통신전자,C4ISR SW 개발자,중급,네트워크·DB·분산시스템 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,정보보안기사,검색페이지확인·강좌회전
통신전자,C4ISR SW 개발자,심화,지휘통제체계·방산SW 실무 (방산 전문교육),한국방위산업진흥회 교육센터,https://edu.kdia.or.kr,정보처리기사,기관확인·주로재직자대상
통신전자,레이더 체계 엔지니어,입문,신호와 시스템·전자기학 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,전자기사,검색페이지확인·강좌회전
통신전자,레이더 체계 엔지니어,중급,마이크로파·안테나 설계 (키워드 검색),K-MOOC (국가평생교육진흥원),https://www.kmooc.kr/view/search/,전파전자통신기사,검색페이지확인·강좌회전
통신전자,레이더 체계 엔지니어,심화,레이더 체계 품질보증 (국방품질 참고),국방기술품질원,https://www.dtaq.re.kr,품질경영기사,기관확인
